Asim;30;Male;Slotsplassen 1;1
peder;30;Male;Slotsplassen 1;2
racel;22;female;Slotsplassen 1;3
dfg;12;Male;Slotsplassen 1;4
Asim;30;Male;Slotsplassen 1;5
peder;30;Male;Slotsplassen 1;6
racel;22;female;Slotsplassen 1;7
dfg;12;Male;Slotsplassen 1;8
Asim;30;Male;Slotsplassen 1;9
peder;30;Male;Slotsplassen 1;10
racel;22;female;Slotsplassen 1;11
dfg;12;Male;Slotsplassen 1;12
Asim;30;Male;Slotsplassen 1;13
peder;30;Male;Slotsplassen 1;14
racel;22;female;Slotsplassen 1;15
dfg;12;Male;Slotsplassen 1;16
Asim;30;Male;Slotsplassen 1;17
peder;30;Male;Slotsplassen 1;18
racel;22;female;Slotsplassen 1;19
dfg;12;Male;Slotsplassen 1;20
Asim;30;Male;Slotsplassen 1;21
peder;30;Male;Slotsplassen 1;22
racel;22;female;Slotsplassen 1;23
dfg;12;Male;Slotsplassen 1;24
Asim;30;Male;Slotsplassen 1;25
peder;30;Male;Slotsplassen 1;26
racel;22;female;Slotsplassen 1;27
dfg;12;Male;Slotsplassen 1;28
Asim;30;Male;Slotsplassen 1;29
peder;30;Male;Slotsplassen 1;30
racel;22;female;Slotsplassen 1;31
dfg;12;Male;Slotsplassen 1;32
Asim;30;Male;Slotsplassen 1;33
peder;30;Male;Slotsplassen 1;34
racel;22;female;Slotsplassen 1;35
dfg;12;Male;Slotsplassen 1;36
Asim;30;Male;Slotsplassen 1;37
peder;30;Male;Slotsplassen 1;38
racel;22;female;Slotsplassen 1;39
dfg;12;Male;Slotsplassen 1;40
Asim;30;Male;Slotsplassen 1;41
peder;30;Male;Slotsplassen 1;42
racel;22;female;Slotsplassen 1;43
dfg;12;Male;Slotsplassen 1;44
Asim;30;Male;Slotsplassen 1;45
peder;30;Male;Slotsplassen 1;46
racel;22;female;Slotsplassen 1;47
dfg;12;Male;Slotsplassen 1;48
Asim;30;Male;Slotsplassen 1;49
peder;30;Male;Slotsplassen 1;50
racel;22;female;Slotsplassen 1;51
dfg;12;Male;Slotsplassen 1;52
Asim;30;Male;Slotsplassen 1;53
peder;30;Male;Slotsplassen 1;54
racel;22;female;Slotsplassen 1;55
dfg;12;Male;Slotsplassen 1;56
Asim;30;Male;Slotsplassen 1;57
peder;30;Male;Slotsplassen 1;58
racel;22;female;Slotsplassen 1;59
dfg;12;Male;Slotsplassen 1;60
Asim;30;Male;Slotsplassen 1;61
peder;30;Male;Slotsplassen 1;62
racel;22;female;Slotsplassen 1;63
dfg;12;Male;Slotsplassen 1;64
Asim;30;Male;Slotsplassen 1;65
peder;30;Male;Slotsplassen 1;66
racel;22;female;Slotsplassen 1;67
dfg;12;Male;Slotsplassen 1;68
Asim;30;Male;Slotsplassen 1;69
peder;30;Male;Slotsplassen 1;70
racel;22;female;Slotsplassen 1;71
dfg;12;Male;Slotsplassen 1;72
Asim;30;Male;Slotsplassen 1;73
peder;30;Male;Slotsplassen 1;74
racel;22;female;Slotsplassen 1;75
dfg;12;Male;Slotsplassen 1;76
Asim;30;Male;Slotsplassen 1;77
peder;30;Male;Slotsplassen 1;78
racel;22;female;Slotsplassen 1;79
dfg;12;Male;Slotsplassen 1;80
Asim;30;Male;Slotsplassen 1;81
peder;30;Male;Slotsplassen 1;82
racel;22;female;Slotsplassen 1;83
dfg;12;Male;Slotsplassen 1;84
Asim;30;Male;Slotsplassen 1;85
peder;30;Male;Slotsplassen 1;86
racel;22;female;Slotsplassen 1;87
dfg;12;Male;Slotsplassen 1;88
Asim;30;Male;Slotsplassen 1;89
peder;30;Male;Slotsplassen 1;90
racel;22;female;Slotsplassen 1;91
dfg;12;Male;Slotsplassen 1;92
Asim;30;Male;Slotsplassen 1;93
peder;30;Male;Slotsplassen 1;94
racel;22;female;Slotsplassen 1;95
